text,sentiment
"Good morning, ladies and gentlemen.",0.4404
Welcome to JPMorgan Chase's Third Quarter 2024 Earnings Call.,0.4588
This call is being recorded.,0.0
Your line will be muted for the duration of the call.,0.0
We will now go live to the presentation.,0.0
The presentation is available on JPMorgan Chase's website.,0.0
Please refer to the disclaimer in the back concerning forward-looking statements.,0.3182
Please standby.,0.3182
"At this time, I would like to turn the call over to JPMorgan Chase's Chairman and CEO, Jamie Dimon; and Chief Financial Officer, Jeremy Barnum.",0.3612
"Mr. Barnum, please go ahead.",0.3182
Jeremy Barnum Chief Financial Officer at JPMorgan Chase & Co.,0.0
Thank you.,0.3612
"Thank you, and good morning, everyone.",0.6597
"Starting on Page 1, the firm reported net income of $12.9 billion, EPS of $4.37 on revenue of $43.3 billion with an ROTCE of 19%.",0.0
Touching on a couple of highlights.,0.0
"In CCB, we ranked number one in retail deposit share for the fourth straight year.",0.5267
"In CIB, both IB fees and Markets revenue were notably up year-on-year, reflecting strength across the franchise.",0.4939
"And in AWM, we had record quarterly revenues and record long-term flows.",0.0
"Now, turning to Page 2 for the firm-wide results.",0.0
"The firm reported revenue of $43.3 billion, up $2.6 billion or 6% year-on-year.",0.0
"NII ex-Markets was up $274 million or 1%, driven by the impact of balance sheet mix and securities reinvestment, higher revolving balances in Card and higher wholesale deposit balances, predominantly offset by lower deposit balances in banking and wealth management and deposit margin compression.",0.4939
"NIR ex-Markets was up $1.8 billion or 17%, but excluding the prior year's net investment securities losses, it was up 10% on higher asset management and investment banking fees.",0.3612
And markets revenue was up $535 million or 8% year- on-year.,0.0
"Expenses of $22.6 billion were up $808 million or 4% year-on-year, driven by compensation, including revenue-related compensation and growth in employees, partially offset by lower legal expense.",0.2263
"And credit costs were $3.1 billion, reflecting net charge-offs of $2.1 billion and a net reserve build of $1 billion, which included $882 million in Consumer, primarily in Card, and $144 million in Wholesale.",0.3818
"Net charge-offs were up $590 million year-on-year, predominantly driven by Card.",0.0
On to balance sheet and capital on Page 3.,0.0
"We ended the quarter with a CET1 ratio of 15.3%, flat versus the prior quarter as net income and OCI gains were offset by capital distributions and higher RWA.",0.34
This quarter's RWA reflects higher lending activity as well as higher client activity and market moves on the trading side.,0.2732
"We had $6 billion of net common share repurchases this quarter, which in part reflects the deployment of the proceeds from the share -- from the sale of Visa shares as we have previously mentioned.",0.6808
"Now let's go to our businesses, starting with CCB on Page 4.",0.0
"CCB reported net income of $4 billion on revenue of $17.8 billion, which was down 3% year-on- year.",0.0
"In Banking & Wealth Management, revenue was down 11% year-on-year, reflecting deposit margin compression and lower deposits, partially offset by growth in wealth management revenue.",0.7783
Average deposits were down 8% year-on-year and 2% sequentially.,0.0
